# Добавить сюда своих вопросов. Эту строку надо пропустить при настройке CsvToBean (withSkipLines)
Что такое транзакции в Spring?;Spring поддерживает управление транзакциями через аннотации @Transactional, что позволяет упрощать работу с транзакциями в приложении.%true|Транзакции в Spring — это просто настройка для работы с базой данных.%false|Транзакции в Spring не поддерживаются, их нужно реализовывать вручную.%false
Что такое Spring Boot Starter?;Spring Boot Starter — это набор зависимостей, которые помогают быстро настроить и разворачивать Spring-приложения с минимальной конфигурацией.%true|Spring Boot Starter — это инструмент для создания мобильных приложений.%false|Spring Boot Starter — это компонент для работы с базой данных.%false
Что такое Spring WebFlux?;Spring WebFlux — это модуль для создания асинхронных веб-приложений и микросервисов, который использует реактивное программирование.%true|Spring WebFlux — это библиотека для работы с базами данных в реальном времени.%false|Spring WebFlux — это инструмент для обработки графического интерфейса.%false
Что такое Spring Batch?;Spring Batch — это фреймворк для обработки больших объёмов данных в пакетном режиме (например, для создания отчётов).%true|Spring Batch — это фреймворк для работы с транзакциями в Spring.%false|Spring Batch — это библиотека для работы с веб-сервисами.%false
Как использовать Spring Cache?;Spring Cache — это механизм для кэширования результатов выполнения методов, который ускоряет работу приложений.%true|Spring Cache используется для обработки пользовательского интерфейса.%false|Spring Cache используется только для работы с базами данных.%false
Что такое Spring Boot Actuator?;Spring Boot Actuator предоставляет набор инструментов для мониторинга и управления приложениями, включая метрики и состояния здоровья.%true|Spring Boot Actuator — это компонент для создания пользовательских интерфейсов.%false|Spring Boot Actuator используется только для работы с базами данных.%false
Как настроить профили в Spring?;Для настройки профилей в Spring используется аннотация @Profile, которая позволяет активировать различные бины в зависимости от конфигурации приложения.%true|Для настройки профилей используется только XML-конфигурация.%false|Профили в Spring настраиваются через аннотацию @Bean.%false
Что такое Spring REST?;Spring REST — это набор инструментов для создания RESTful веб-сервисов с использованием Spring Framework.%true|Spring REST — это библиотека для работы с графическим интерфейсом.%false|Spring REST используется только для работы с базами данных.%false
Как настроить логирование в Spring?;Логирование в Spring настраивается через конфигурацию Logback или Log4j и интегрируется с Spring Logging.%true|Логирование в Spring настраивается через настройки базы данных.%false|Логирование в Spring не поддерживается.%false
Что такое Spring WebSocket?;Spring WebSocket — это технология для создания двусторонней связи между сервером и клиентом в реальном времени через WebSocket-протокол.%true|Spring WebSocket — это библиотека для работы с графическим интерфейсом.%false|Spring WebSocket используется для работы с базами данных.%false
Что такое аннотация @Bean в Spring?;Аннотация @Bean используется для определения бина в конфигурационном классе в Spring.%true|Аннотация @Bean используется для конфигурации баз данных.%false|Аннотация @Bean используется для обработки HTTP-запросов.%false
Что такое Spring Integration?;Spring Integration — это проект, который предоставляет инструменты для интеграции различных систем через сообщения и каналы.%true|Spring Integration — это инструмент для создания пользовательских интерфейсов.%false|Spring Integration — это проект для работы с базами данных.%false
Что такое Spring LDAP?;Spring LDAP — это проект, который предоставляет интеграцию с LDAP-серверами для работы с каталогами.%true|Spring LDAP — это фреймворк для создания веб-приложений.%false|Spring LDAP используется только для работы с внешними API.%false
Как работает Spring JMS?;Spring JMS предоставляет абстракции для работы с очередями сообщений и публикующими системами, используя Java Message Service.%true|Spring JMS — это инструмент для обработки HTTP-запросов.%false|Spring JMS используется для работы с базами данных.%false
Что такое Spring HATEOAS?;Spring HATEOAS предоставляет инструменты для создания RESTful API с поддержкой гипермедиа, что облегчает взаимодействие с API.%true|Spring HATEOAS используется для работы с графическим интерфейсом.%false|Spring HATEOAS — это инструмент для создания мобильных приложений.%false
Как работает Spring JPA?;Spring JPA — это абстракция для работы с базами данных, использующая Java Persistence API для упрощения работы с объектно-реляционными маппингами (ORM).%true|Spring JPA используется только для работы с RESTful API.%false|Spring JPA используется для работы с асинхронными задачами.%false
Что такое аннотация @Entity в Spring?;Аннотация @Entity используется для маркировки класса как сущности для работы с базой данных через JPA.%true|Аннотация @Entity используется для настройки бинов в Spring.%false|Аннотация @Entity используется для обработки HTTP-запросов.%false
Что такое Spring Shell?;Spring Shell — это фреймворк для создания командных интерфейсов (CLI) на основе Spring.%true|Spring Shell используется для создания мобильных приложений.%false|Spring Shell используется для работы с базами данных.%false
Что такое Spring WebClient?;Spring WebClient — это инструмент для асинхронных HTTP-запросов в приложениях Spring, предоставляющий удобный API для взаимодействия с RESTful сервисами.%true|Spring WebClient используется для обработки пользовательских интерфейсов.%false|Spring WebClient используется для создания баз данных.%false
Что такое Spring Transaction Management?;Spring Transaction Management предоставляет абстракцию для управления транзакциями в приложениях и поддерживает работу с различными типами транзакций.%true|Spring Transaction Management используется для работы с асинхронными задачами.%false|Spring Transaction Management — это компонент для работы с графическим интерфейсом.%false
Что такое аннотация @Transactional в Spring?;Аннотация @Transactional используется для пометки методов или классов, в которых требуется управление транзакциями.%true|Аннотация @Transactional используется для настройки логирования в Spring.%false|Аннотация @Transactional используется для обработки HTTP-запросов.%false
Как Spring обрабатывает исключения?;Spring предоставляет механизм обработки исключений через аннотации @ExceptionHandler и глобальные обработчики с помощью @ControllerAdvice.%true|Spring обрабатывает исключения через статические методы.%false|Spring не предоставляет механизмов для обработки исключений.%false
Как можно интегрировать Spring с Hibernate?;Для интеграции Spring с Hibernate используется Spring ORM, который предоставляет абстракции для работы с объектно-реляционным маппингом (ORM) через Hibernate.%true|Для интеграции Spring с Hibernate нужно вручную настраивать все зависимости.%false|Spring не поддерживает интеграцию с Hibernate.%false
Что такое аннотация @Value в Spring?;Аннотация @Value используется для внедрения значений из внешних источников, таких как файлы свойств или переменные окружения.%true|Аннотация @Value используется для работы с базами данных.%false|Аннотация @Value используется для обработки HTTP-запросов.%false
Что такое Spring AMQP?;Spring AMQP — это проект для работы с брокерами сообщений, такими как RabbitMQ, через абстракцию AMQP (Advanced Message Queuing Protocol).%true|Spring AMQP используется только для обработки HTTP-запросов.%false|Spring AMQP — это инструмент для создания мобильных приложений.%false
Как работает Spring Security OAuth2?;Spring Security OAuth2 предоставляет инструменты для реализации аутентификации и авторизации с использованием протоколов OAuth2 и OpenID Connect.%true|Spring Security OAuth2 используется для создания UI-компонентов.%false|Spring Security OAuth2 используется для работы с базами данных.%false
Что такое аннотация @Primary в Spring?;Аннотация @Primary используется для указания предпочтительного бина, если в контексте приложения существует несколько бинов одного типа.%true|Аннотация @Primary используется для настройки логирования.%false|Аннотация @Primary используется для работы с базами данных.%false
Как использовать Spring EventListener?;Spring EventListener позволяет слушать и обрабатывать события в приложении, используя аннотацию @EventListener.%true|Spring EventListener используется для работы с графическими интерфейсами.%false|Spring EventListener используется только для работы с базами данных.%false
Что такое Spring Integration?;Spring Integration предоставляет инструменты для интеграции различных систем через обмен сообщениями и каналы.%true|Spring Integration используется только для работы с HTTP-запросами.%false|Spring Integration — это библиотека для работы с базами данных.%false
